"DATA","CASA","ITEM","QUANTIDADE","VALOR","FORNECEDOR","OBS. DE ENTREGA (NÃO RECEBEMOS 11H30 AS 14H00)","STATUS","VALOR TOTAL","R$ FIXO","INFLAÇÃO","VOL. MAX","ID","MAXIMO"
"28/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","AGUA SAO LOURENCO COM GAS","144,00","2,60","SOS","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","375,00","","","144","1",""
"28/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","AGUA SAO LOURENCO SEM GAS","180,00","2,38","SOS","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","428,25","","","180","2",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","CAPSULA TRES AMENO","240,00","1,79","3 CORAÇÕES","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","428,40","","","240","3",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","COLORADO APPIA 600ML","12,00","0,00","AMBEV","TERÇA A SEXTA DAS 8H30 AS 16H","RUPTURA","0,00","","","12","4",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","CORONA LONG NECK","48,00","6,74","AMBEV","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","323,66","","","48","5",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","HEINEKEN LONG NECK","48,00","6,55","HNK","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","314,35","","","48","6",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","IÇA BEER IPA 600ML","12,00","17,90","IÇA BEER CERVEJARIA","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","214,80","","","12","7",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","STELLA ARTOIS LONG NECK","24,00","6,30","AMBEV","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","151,29","","","24","8",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","STELLA ARTOIS SEM GLUTEN 330ML","24,00","6,78","AMBEV","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","162,69","","","24","9",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","CHOPP BRAHMA BLACK 30L","30,00","14,08","AMBEV","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","422,25","","","30","10",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","CHOPP BRAHMA CLARO 50L","150,00","14,45","AMBEV","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","2.167,42","","","150","11",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","CHOPP COLORADO APPIA 30L","30,00","15,12","AMBEV","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","453,53","","","30","12",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","CHOPP STELLA ARTOIS 30L","30,00","14,08","AMBEV","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","422,25","","","30","13",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","GAS CHOPP (m³)","2,00","128,43","CRYSTALMIX","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","256,86","","","2","14",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","GELO 50MMX65MM","78,00","2,17","ICE 4 PROS","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","169,26","","","78","15",""
